The population almost didn't grow until 1800,,,,
This knowledge is free to use under CC-BY License 4.0!,,,,
This file is part of Gapminder's fact-base. Here's the link to the public share folder,,,,
,,,,
Gapminder has combined multiple historic sources to construct estimates of historic world populaiont that reaches back to the time agriculture was invented.,,,,
,,,,
"Gapminder vcombined four sources: (See net sheet for exact numbers)
UN WPP2017, CLIO Infra, Biraben & McEvedy Jones",,,,
(Compiled by Mattias Lindgren),,Period covered,Sources,Link
,,2016-2100,"World Population Prospects 2017, medium variant",https://esa.un.org/unpd/wpp/
,,1950-2015,"World Population Prospects 2017, estimates",https://esa.un.org/unpd/wpp/
,,1800 to 1949,Mainly Maddison via ClIo infra with some adjustments made by Gapminder to have estimates meet the UN data in 1950.,https://www.clio-infra.eu/Indicators/TotalPopulation.html
,,10.000 BC to - 1900 (except 1650 ),"Biraben (except 1650 from McEvedy Jones) ""Biraben, Jean-Noel, 1980, An Essay Concerning Mankind's Evolution, Population, Selected Papers, December, table 2. 
 As cited in US census bureau""",http://www.census.gov/population/international/data/idb/worldhis.php
,,1650,"McEvedy & Jones ""McEvedy, Colin and Richard Jones, 1978, """"Atlas of World Population History,""""
 Facts on File, New York, pp. 342-351."" As cited in US census bureau http://www.census.gov/population/international/data/idb/worldhis.php",http://www.census.gov/population/international/data/idb/worldhis.php
,,,,
,,,,
,,,,
year,World populaiton,,,
2002,6265005402,,,
2003,6344003287,,,
2004,6423719971,,,
2005,6504280993,,,
2006,6585760192,,,
2007,6668138074,,,
2008,6751310827,,,
2009,6835108522,,,
2010,6919368228,,,
2011,7004042402,,,
2012,7089048309,,,
2013,7174135279,,,
2014,7258995892,,,
2015,7343380299,,,
2016,7427157079,,,
2017,7510270208,,,
2018,7592641463,,,
2019,7674218669,,,
2020,7754954225,,,
2021,7834779420,,,
2022,7913638043,,,
2023,7991520040,,,
2024,8068434258,,,
2025,8144386957,,,
2026,8219357727,,,
2027,8293328034,,,
2028,8366311838,,,
2029,8438333140,,,
2030,8509410159,,,
2031,8579544930,,,
2032,8648732275,,,
2033,8716974154,,,
2034,8784272290,,,
2035,8850628027,,,
2036,8916036314,,,
2037,8980497153,,,
2038,9044021863,,,
2039,9106625508,,,
2040,9168314810,,,
2041,9229088813,,,
2042,9288930502,,,
2043,9347809640,,,
2044,9405686128,,,
2045,9462526252,,,
2046,9518317740,,,
2047,9573052055,,,
2048,9626703497,,,
2049,9679244145,,,
2050,9730653103,,,
2051,9780925140,,,
2052,9830060747,,,
2053,9878054043,,,
2054,9924901332,,,
2055,9970606232,,,
2056,10015171511,,,
2057,10058616334,,,
2058,10100982292,,,
2059,10142323204,,,
2060,10182685100,,,
2061,10222090083,,,
2062,10260552761,,,
2063,10298103856,,,
2064,10334774690,,,
2065,10370592051,,,
2066,10405576570,,,
2067,10439741399,,,
2068,10473095060,,,
2069,10505640797,,,
2070,10537382981,,,
2071,10568334032,,,
2072,10598504167,,,
2073,10627891474,,,
2074,10656489672,,,
2075,10684296986,,,
2076,10711318933,,,
2077,10737567885,,,
2078,10763057186,,,
2079,10787803360,,,
2080,10811821143,,,
2081,10835117371,,,
2082,10857699972,,,
2083,10879588360,,,
2084,10900804094,,,
2085,10921363657,,,
2086,10941274809,,,
2087,10960537164,,,
2088,10979149734,,,
2089,10997107811,,,
2090,11014406137,,,
2091,11031039978,,,
2092,11047004654,,,
2093,11062295173,,,
2094,11076904361,,,
2095,11090822611,,,
2096,11104037489,,,
2097,11116533330,,,
2098,11128291145,,,
2099,11139289195,,,
2100,11149502013,,,
